Laporan Penggunaan Keseluruhan Iklan Pencarian - Shopee Indonesia
Username:,newlab.id
Waktu Laporan Dibuat:,19/05/2023 08:42
Periode:,01/12/2022 - 31/12/2022
ID Toko:,3714573

Urutan,Nama Iklan,Status,Kode Produk,Jenis Iklan,Kata Pencarian/Penempatan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk
42,PAKET HEMAT 2 | Newlab Professional Teeth Whitening Pen | Professional Pen Pemutih Gigi,Nonaktif,7880481064,Iklan Pencarian Produk,Semua,11/12/2022 23:00,Tidak Terbatas,2525,131,5.19%,13,2,9.92%,1.53%,6224,40455,13,2,1825000,178000,80910,22.56,2.2,4.43%,45.45%,N/A,N/A,N/A
43,PAKET HEMAT 2 | Serum Bulu Mata Bpom | NEWLAB Penumbuh Alis & Bulu Mata Cepat & Instant | Eyelash Extension & Brow Serum | Non Oil Serum Water based Serum,Nonaktif,10149733337,Iklan Pencarian Produk,Semua,11/12/2022 23:00,Tidak Terbatas,1757,55,3.13%,6,3,10.91%,5.45%,14919,29838,6,3,568000,379000,89514,6.35,4.23,15.76%,23.62%,N/A,N/A,N/A
44,Fiber,Nonaktif,N/A,Iklan Pencarian Toko,Semua,03/12/2022 23:00,Tidak Terbatas,981,32,3.26%,15,10,46.88%,31.25%,1186,1779,18,13,2424000,1796000,17789,136.27,100.96,0.73%,0.99%,2990,30,1.00%
45,Detox Beli 2 Lebih Hemat,Nonaktif,N/A,Iklan Pencarian Toko,Semua,11/12/2022 23:00,Tidak Terbatas,851,60,7.05%,9,8,15.00%,13.33%,1930,2171,10,9,1034000,899000,17366,59.54,51.77,1.68%,1.93%,2707,74,2.73%
46,Acne,Nonaktif,N/A,Iklan Pencarian Toko,Semua,11/12/2022 23:00,Tidak Terbatas,758,11,1.45%,0,0,0.00%,0.00%,0,0,0,0,0,0,16499,0.0,0.0,0.00%,0.00%,888,8,0.90%
47,UNDERARM,Nonaktif,N/A,Iklan Pencarian Toko,Semua,05/05/2022 23:00,Tidak Terbatas,518,13,2.51%,0,0,0.00%,0.00%,0,0,0,0,0,0,3840,0.0,0.0,0.00%,0.00%,1578,2,0.13%
48,slimming,Nonaktif,N/A,Iklan Pencarian Toko,Semua,12/05/2021 23:00,Tidak Terbatas,364,33,9.07%,3,3,9.09%,9.09%,3240,3240,3,3,295000,295000,9720,30.35,30.35,3.29%,3.29%,1400,27,1.93%
49,PAKET HEMAT 2 | Minty Charcoal Powder for Teeth Detoxification | NEWLAB Arang Aktif Detoks Karang & Pemutih Gigi | 30 gr,Nonaktif,4580513269,Iklan Pencarian Produk,Semua,22/09/2022 23:00,Tidak Terbatas,347,10,2.88%,0,0,0.00%,0.00%,0,0,0,0,0,0,6288,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
50,PAKET HEMAT 2 | Minty Charcoal Powder for Teeth Detoxification | NEWLAB Arang Aktif Detoks Karang & Pemutih Gigi | 30 gr,Nonaktif,4580513269,Iklan Produk Serupa,Semua,23/09/2022 00:00,Tidak Terbatas,133,1,0.75%,0,0,0.00%,0.00%,0,0,0,0,0,0,300,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
51,Promo 12.12 Collagen,Nonaktif,N/A,Iklan Pencarian Toko,Semua,11/12/2022 23:00,Tidak Terbatas,127,8,6.30%,0,0,0.00%,0.00%,0,0,0,0,0,0,2287,0.0,0.0,0.00%,0.00%,520,9,1.73%
52,Paket Bundling 1 | Slimming Package NEWLAB | Fiber DrinkNEWLAB | Fiber Rasa Coklat | SlimFazz Tea Drink | Teh Diet Detoks | Suplemen Pelangsing Herbal,Nonaktif,20258891705,Iklan Produk Serupa,Semua,09/12/2022 23:00,Tidak Terbatas,84,2,2.38%,0,0,0.00%,0.00%,0,0,0,0,0,0,735,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
53,[Gift-Not For Sale] Body Scrub,Selesai,22908039340,Iklan Produk Serupa,Semua,09/12/2022 23:00,11/12/2022 12:58,58,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
54,Bundling Slimming Pack,Nonaktif,N/A,Iklan Pencarian Toko,Semua,11/12/2022 23:00,Tidak Terbatas,48,4,8.33%,1,1,25.00%,25.00%,1185,1185,1,1,145000,145000,1185,122.36,122.36,0.82%,0.82%,88,3,3.41%
55,Bye Acne Package│Mini Acnalogy Powder Drink + Anti Acne Lotion,Nonaktif,22340218198,Iklan Produk Serupa,Semua,08/05/2023 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
56,Minty Charcoal Powder for Teeth Detoxification | NEWLAB Arang Aktif Detoks Karang & Pemutih Gigi | 30 gr,Nonaktif,5017279672,Iklan Produk Serupa,Semua,01/04/2021 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
57,Paket Insentive Bright Care 2 | Brightlogy Collagen Powder Drink Mini dan Brightlogy Brightening Underarm Serum + AHA,Nonaktif,23436887327,Iklan Produk Serupa,Semua,10/04/2023 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
58,NEWLAB Intensive Brightening Body Wash + AHA | Sabun Pemutih Kulit dengan Parfum,Nonaktif,18773652241,Iklan Produk Serupa,Semua,10/04/2023 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
59,NEWLAB Professional Teeth Whitening Pen BPOM | Professional Pen Pemutih Gigi,Berjalan,2243277078,Iklan Produk Serupa,Semua,01/04/2021 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
60,PAKET HEMAT 2 | Acne No More Package│2 Acnalogy Powder Drink,Berjalan,16094408385,Iklan Produk Serupa,Semua,08/05/2023 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
61,Bye Acne Package│Mini Acnalogy Powder Drink + Anti Acne Lotion,Berjalan,22340218198,Iklan Pencarian Produk,Semua,07/05/2023 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
62,Paket Insentive Bright Care 3 | Brightlogy Collagen Powder Drink Mini dan Beaudelab Intensive Brightening Body Scrub + AHA,Selesai,18777810470,Iklan Pencarian Produk,Semua,09/04/2023 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
63,Paket Insentive Bright Care 3 | Brightlogy Collagen Powder Drink Mini dan Beaudelab Intensive Brightening Body Scrub + AHA,Selesai,18777810470,Iklan Produk Serupa,Semua,10/04/2023 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
64,PAKET HEMAT 2 | Acne No More Package│2 Acnalogy Powder Drink,Berjalan,16094408385,Iklan Pencarian Produk,Semua,07/05/2023 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
65,TEH DIET DETOKS | NEWLAB Slimlogy Tea Drink | Suplemen pelangsing herbal | Makanan diet,Nonaktif,6131697514,Iklan Produk Serupa,Semua,26/02/2021 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
66,Paket Insentive Bright Care 2 | Brightlogy Collagen Powder Drink Mini dan Brightlogy Brightening Underarm Serum + AHA,Nonaktif,23436887327,Iklan Pencarian Produk,Semua,09/04/2023 23:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
67,Paket Insentive Bright Care 1 | Brightlogy Collagen Powder Drink Mini dan Body Wash + AHA,Nonaktif,22536841519,Iklan Produk Serupa,Semua,10/04/2023 00:00,Tidak Terbatas,0,0,0.00%,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
